COUNTIES,2016/17,2017/18,2018/19,2019/20,2020/21
Adams County,146,40,43,93,120
Asotin County,29,10,43,54,125
Benton County,867,"1,400","1,247","1,431","1,315"
Chelan County,414,600,369,686,582
Clallam County,239,253,395,285,301
Clark County,"3,792","3,346","3,624","4,646","4,886"
Columbia County,8,9,3,8,10
Cowlitz County,248,402,357,388,395
Douglas County,204,217,215,348,276
Ferry County,28,18,36,36,46
Franklin County,497,614,634,684,705
Garfield County,-1,1,4,2,6
Grant County,359,848,753,672,840
Grays Harbor County,208,238,319,361,394
Island County,297,414,380,372,257
Jefferson County,105,130,120,88,158
King County,"14,810","15,104","18,851","17,182","15,261"
Kitsap County,760,"1,199",801,"1,020","1,008"
Kittitas County,288,278,465,667,479
Klickitat County,162,146,182,149,159
Lewis County,273,169,268,343,387
Lincoln County,60,60,73,47,43
Mason County,358,246,277,374,313
Okanogan County,146,140,139,173,180
Pacific County,90,80,78,133,103
Pend Oreille County,36,54,60,69,66
Pierce County,"4,277","3,743","3,661","4,499","4,690"
San Juan County,87,117,145,134,88
Skagit County,451,464,499,476,354
Skamania County,59,61,76,73,94
Snohomish County,"3,556","4,768","4,230","4,479","5,220"
Spokane County,"2,961","3,477","2,932","2,560","2,827"
Stevens County,91,160,215,138,193
Thurston County,"1,318","1,623","1,243","1,678","2,010"
Wahkiakum County,19,26,16,18,30
Walla Walla County,148,143,192,165,112
Whatcom County,"1,173","1,403","1,309","1,319","1,159"
Whitman County,273,130,233,183,722
Yakima County,547,513,537,781,800
