CITIES,2016,2017,2018,2019,2020
Aberdeen,5,6,2,2,17
Airway Heights,33,468,184,56,87
Anacortes,75,91,127,66,108
Arlington,16,198,321,247,141
Auburn,534,139,50,23,83
Bainbridge Island,132,109,254,94,86
Battle Ground,176,163,153,217,196
Bellevue,1587,1308,924,404,333
Bellingham,527,571,718,1072,656
Bonney Lake,80,54,57,523,98
Bothell,609,519,482,167,194
Bremerton,251,112,190,367,374
Burien,258,58,41,53,61
Burlington,6,109,44,118,207
Camas,236,235,270,643,337
Centralia,61,39,53,42,59
Cheney,235,55,51,219,26
Covington,194,85,65,189,118
Des Moines,39,451,120,69,222
DuPont,0,0,18,38,6
East Wenatchee,27,6,19,10,14
Edgewood,182,169,577,149,154
Edmonds,126,184,65,51,234
Ellensburg,99,260,230,51,76
Enumclaw,29,31,184,179,158
Everett,228,294,245,723,560
Federal Way,63,74,65,266,35
Ferndale,151,153,121,134,166
Fife,0,7,15,57,11
Gig Harbor,196,247,172,88,120
Grandview,2,7,8,12,30
Issaquah,157,831,243,199,103
Kelso,3,11,6,14,15
Kenmore,212,74,99,42,39
Kennewick,401,387,679,356,326
Kent,409,351,400,389,377
Kirkland,542,349,2644,1383,576
Lacey,879,163,844,685,315
Lake Forest Park,54,64,30,8,8
Lake Stevens,370,169,253,315,351
Lakewood,33,60,311,41,162
Liberty Lake,337,306,160,227,167
Longview,50,33,18,49,17
Lynden,120,150,183,136,134
Lynnwood,14,43,364,30,1116
Maple Valley,51,443,118,182,210
Marysville,335,235,345,502,423
Mercer Island,70,78,85,84,90
Mill Creek,257,36,0,0,128
Monroe,138,156,174,337,119
Moses Lake,446,198,154,138,126
Mount Vernon,144,159,172,86,91
Mountlake Terrace,45,3,22,30,193
Mukilteo,6,3,18,5,13
Newcastle,67,49,239,280,36
Oak Harbor,39,35,68,21,111
Olympia,306,127,145,401,196
Pasco,421,557,485,504,525
Port Angeles,22,42,30,57,33
Port Orchard,54,153,113,98,259
Port Townsend,89,53,32,51,33
Poulsbo,152,101,135,47,50
Pullman,176,216,234,388,49
Puyallup,139,353,277,123,102
Redmond,917,1350,2193,455,2005
Renton,207,249,259,168,263
Richland,527,360,331,760,572
Sammamish,385,367,282,175,172
Seatac,64,18,39,14,25
Seattle,9999,9887,7918,10784,5726
Sedro-Woolley,113,50,17,37,40
Shelton,9,23,64,61,71
Shoreline,369,204,364,575,182
Snohomish,56,25,13,110,44
Snoqualmie,91,80,5,9,0
Spokane,836,832,855,421,539
Spokane Valley,807,737,542,963,1110
Sumner,26,26,130,64,52
Sunnyside,24,25,26,68,25
Tacoma,617,1127,1033,1076,932
Tukwila,32,46,102,20,129
Tumwater,200,195,145,143,185
University Place,60,120,166,67,134
Vancouver,716,1546,1114,1372,1573
Walla Walla,101,45,117,63,49
Washougal,88,170,37,60,58
Wenatchee,70,69,192,58,193
West Richland,106,95,83,172,228
Woodinville,14,357,267,816,100
Yakima,137,125,251,580,203
Yelm,82,52,46,44,21
