Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202011,01,001,3,6,Autauga County                ,18,18,5219095,0,0,0,0,0,0,0,0,0,18,18,5219095,0,0,0,0,0,0,0,0,0
202011,01,007,3,6,Bibb County                   ,1,1,365000,0,0,0,0,0,0,0,0,0,1,1,365000,0,0,0,0,0,0,0,0,0
202011,01,009,3,6,Blount County                 ,4,4,570000,0,0,0,0,0,0,0,0,0,4,4,570000,0,0,0,0,0,0,0,0,0
202011,01,021,3,6,Chilton County                ,2,2,200000,0,0,0,0,0,0,0,0,0,2,2,200000,0,0,0,0,0,0,0,0,0
202011,01,073,3,6,Jefferson County              ,129,129,48444701,1,2,247329,0,0,0,1,7,705878,49,49,22829367,0,0,0,0,0,0,0,0,0
202011,01,081,3,6,Lee County                    ,85,85,23298327,0,0,0,0,0,0,1,5,536761,56,56,16494723,0,0,0,0,0,0,0,0,0
202011,01,083,3,6,Limestone County              ,22,22,5128838,0,0,0,0,0,0,0,0,0,22,22,5128838,0,0,0,0,0,0,0,0,0
202011,01,089,3,6,Madison County                ,287,287,39531862,0,0,0,0,0,0,0,0,0,163,163,13922521,0,0,0,0,0,0,0,0,0
202011,01,113,3,6,Russell County                ,10,10,1460879,0,0,0,0,0,0,0,0,0,10,10,1460879,0,0,0,0,0,0,0,0,0
202011,01,115,3,6,St. Clair County              ,25,25,4610182,0,0,0,0,0,0,0,0,0,5,5,860445,0,0,0,0,0,0,0,0,0
202011,01,117,3,6,Shelby County                 ,135,135,36752107,0,0,0,0,0,0,0,0,0,115,115,31136233,0,0,0,0,0,0,0,0,0
202011,01,127,3,6,Walker County                 ,3,3,416207,0,0,0,0,0,0,0,0,0,3,3,416207,0,0,0,0,0,0,0,0,0
202011,02,013,4,9,Aleutians East Borough        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,016,4,9,Aleutians West Census Area    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,020,4,9,Anchorage Municipality        ,74,74,23181370,0,0,0,2,6,1042266,2,12,1897147,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,050,4,9,Bethel Census Area            ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,060,4,9,Bristol Bay Borough           ,1,1,115625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,070,4,9,Dillingham Census Area        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,090,4,9,Fairbanks North Star Borough  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,100,4,9,Haines Borough                ,1,1,149444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,105,4,9,Hoonah-Angoon Census Area     ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202011,02,110,4,9,Juneau City and Borough       ,4,4,962882,0,0,0,0,0,0,0,0,0,4,4,962882,0,0,0,0,0,0,0,0,0
202011,02,122,4,9,Kenai Peninsula Borough       ,12,12,4043001,0,0,0,0,0,0,0,0,0,9,9,3395000,0,0,0,0,0,0,0,0,0
