,Date,FIPS_CODE,EMP_NO.
0,2017-01-01,53011,213014.0
1,2017-01-01,53025,37313.0
2,2017-01-01,53033,1175970.0
3,2017-01-01,53035,113713.0
4,2017-01-01,53053,391405.0
5,2017-01-01,53061,400624.0
6,2017-01-01,53065,16460.0
7,2017-01-01,53067,126521.0
8,2017-02-01,53011,214725.0
9,2017-02-01,53025,38473.0
10,2017-02-01,53033,1190267.0
11,2017-02-01,53035,113417.0
12,2017-02-01,53053,390557.0
13,2017-02-01,53061,405531.0
14,2017-02-01,53065,16488.0
15,2017-02-01,53067,126577.0
16,2017-03-01,53011,215734.0
17,2017-03-01,53025,40261.0
18,2017-03-01,53033,1193174.0
19,2017-03-01,53035,113806.0
20,2017-03-01,53053,392219.0
21,2017-03-01,53061,406766.0
22,2017-03-01,53065,16580.0
23,2017-03-01,53067,127585.0
24,2017-04-01,53011,215649.0
25,2017-04-01,53025,41421.0
26,2017-04-01,53033,1194747.0
27,2017-04-01,53035,113773.0
28,2017-04-01,53053,391046.0
29,2017-04-01,53061,407298.0
30,2017-04-01,53065,16746.0
31,2017-04-01,53067,127038.0
32,2017-05-01,53011,215336.0
33,2017-05-01,53025,42038.0
34,2017-05-01,53033,1192269.0
35,2017-05-01,53035,114114.0
36,2017-05-01,53053,391487.0
37,2017-05-01,53061,406513.0
38,2017-05-01,53065,16853.0
39,2017-05-01,53067,126845.0
40,2017-06-01,53011,215964.0
41,2017-06-01,53025,45458.0
42,2017-06-01,53033,1190485.0
43,2017-06-01,53035,114973.0
44,2017-06-01,53053,391928.0
45,2017-06-01,53061,405977.0
46,2017-06-01,53065,16999.0
47,2017-06-01,53067,126738.0
48,2017-07-01,53011,214568.0
49,2017-07-01,53025,47363.0
50,2017-07-01,53033,1191638.0
51,2017-07-01,53035,114710.0
52,2017-07-01,53053,390678.0
53,2017-07-01,53061,406335.0
54,2017-07-01,53065,16811.0
55,2017-07-01,53067,126122.0
56,2017-08-01,53011,215216.0
57,2017-08-01,53025,44564.0
58,2017-08-01,53033,1193557.0
59,2017-08-01,53035,114083.0
60,2017-08-01,53053,392103.0
61,2017-08-01,53061,407169.0
62,2017-08-01,53065,16708.0
63,2017-08-01,53067,126426.0
64,2017-09-01,53011,216081.0
65,2017-09-01,53025,45927.0
66,2017-09-01,53033,1201230.0
67,2017-09-01,53035,114078.0
68,2017-09-01,53053,395293.0
69,2017-09-01,53061,409557.0
70,2017-09-01,53065,16866.0
71,2017-09-01,53067,128647.0
72,2017-10-01,53011,219430.0
73,2017-10-01,53025,44328.0
74,2017-10-01,53033,1189259.0
75,2017-10-01,53035,115759.0
76,2017-10-01,53053,398791.0
77,2017-10-01,53061,405693.0
78,2017-10-01,53065,17034.0
79,2017-10-01,53067,129699.0
80,2017-11-01,53011,220196.0
81,2017-11-01,53025,41251.0
82,2017-11-01,53033,1198951.0
