,Date,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state
0,2016-07-01,53001,Adams,125000.0,,,34,,,87.0,,,8,,,0,,,4,,,2,,,83.11170212765957,,,1534.0,,,148215.73913043478,,,36,,,0.0588235294117647,,,0,wa
1,2016-07-01,53003,Asotin,220000.0,,,120,,,61.0,,,24,,,0,,,32,,,0,,,107.14285714285714,,,2218.0,,,242104.6076923077,,,120,,,,,,0,wa
2,2016-07-01,53005,Benton,286500.0,,,629,,,42.0,,,288,,,12,,,188,,,0,,,130.25244299674267,,,2235.0,,,323683.53361945634,,,629,,,0.0,,,0,wa
3,2016-07-01,53007,Chelan,394000.0,,,502,,,60.0,,,108,,,4,,,96,,,8,,,190.6675749318801,,,2110.0,,,527891.7324478178,,,510,,,0.0159362549800796,,,0,wa
4,2016-07-01,53009,Clallam,325000.0,,,596,,,66.0,,,156,,,0,,,104,,,0,,,164.8771021992238,,,1940.0,,,405908.95,,,596,,,,,,0,wa
5,2016-07-01,53011,Clark,395000.0,,,1447,,,40.0,,,880,,,72,,,484,,,79,,,170.70800555298473,,,2377.0,,,485091.8390501319,,,1526,,,0.0545957152729785,,,0,wa
6,2016-07-01,53013,Columbia,149900.0,,,58,,,129.0,,,8,,,0,,,4,,,0,,,84.69440164355419,,,1856.0,,,212177.81666666668,,,58,,,,,,0,wa
7,2016-07-01,53015,Cowlitz,265000.0,,,397,,,47.0,,,188,,,8,,,128,,,8,,,129.05308464849355,,,2007.0,,,302332.88063063065,,,405,,,0.0201511335012594,,,0,wa
8,2016-07-01,53017,Douglas,309000.0,,,116,,,67.0,,,48,,,0,,,28,,,4,,,154.83870967741936,,,2148.0,,,411781.37313432834,,,120,,,0.0344827586206896,,,0,wa
9,2016-07-01,53019,Ferry,169950.0,,,126,,,108.0,,,12,,,0,,,16,,,0,,,110.64593301435409,,,1656.0,,,226893.984375,,,126,,,0.0,,,0,wa
10,2016-07-01,53021,Franklin,255000.0,,,189,,,43.0,,,104,,,12,,,44,,,0,,,126.03464870067371,,,2135.0,,,283922.7339449541,,,189,,,0.0,,,0,wa
11,2016-07-01,53023,Garfield,129900.0,,,20,,,80.0,,,4,,,0,,,4,,,0,,,69.71624266144813,,,2044.0,,,170133.33333333334,,,20,,,,,,0,wa
12,2016-07-01,53025,Grant,225000.0,,,367,,,81.0,,,88,,,4,,,68,,,0,,,124.88203837684809,,,1776.0,,,274346.9399477807,,,367,,,,,,0,wa
13,2016-07-01,53027,Grays Harbor,175000.0,,,519,,,74.0,,,176,,,8,,,100,,,0,,,127.08678828081813,,,1512.0,,,220174.7996357013,,,519,,,,,,0,wa
14,2016-07-01,53029,Island,424900.0,,,477,,,53.0,,,176,,,8,,,152,,,0,,,203.89369592089,,,2042.0,,,605166.6666666666,,,477,,,,,,0,wa
15,2016-07-01,53031,Jefferson,439000.0,,,263,,,68.0,,,72,,,0,,,48,,,0,,,214.4702842377261,,,2018.0,,,519679.2618181818,,,263,,,,,,0,wa
16,2016-07-01,53033,King,565000.0,,,3418,,,23.0,,,3056,,,80,,,1060,,,0,,,276.04527604527607,,,2200.0,,,893330.4590992647,,,3418,,,,,,0,wa
17,2016-07-01,53035,Kitsap,376500.0,,,758,,,37.0,,,448,,,12,,,280,,,0,,,178.4231609613984,,,2156.0,,,515198.9640044994,,,758,,,,,,0,wa
18,2016-07-01,53037,Kittitas,369000.0,,,272,,,58.0,,,104,,,4,,,32,,,1,,,199.04596704249784,,,2028.0,,,579451.1621621621,,,273,,,0.0036764705882352,,,0,wa
19,2016-07-01,53039,Klickitat,349000.0,,,123,,,99.0,,,20,,,0,,,20,,,3,,,172.81048387096774,,,1863.0,,,484307.8582677165,,,126,,,0.024390243902439,,,0,wa
20,2016-07-01,53041,Lewis,210000.0,,,340,,,61.0,,,96,,,4,,,72,,,1,,,123.7403928266439,,,1716.0,,,268472.8991825613,,,341,,,0.0029411764705882,,,0,wa
21,2016-07-01,53043,Lincoln,172500.0,,,107,,,68.0,,,16,,,0,,,16,,,14,,,91.01941747572816,,,2016.0,,,233951.4672897196,,,121,,,0.1308411214953271,,,0,wa
22,2016-07-01,53045,Mason,239900.0,,,456,,,58.0,,,152,,,0,,,100,,,0,,,148.80197322057788,,,1618.0,,,290588.21428571426,,,456,,,,,,0,wa
23,2016-07-01,53047,Okanogan,264000.0,,,306,,,96.0,,,40,,,0,,,36,,,0,,,154.43548387096774,,,1632.0,,,319174.78504672897,,,306,,,,,,0,wa
24,2016-07-01,53049,Pacific,208000.0,,,241,,,78.0,,,68,,,0,,,36,,,2,,,140.2439024390244,,,1440.0,,,247216.9885496183,,,243,,,0.0082987551867219,,,0,wa
25,2016-07-01,53051,Pend Oreille,229900.0,,,231,,,78.0,,,36,,,0,,,44,,,31,,,134.3146274149034,,,2016.0,,,380891.5230125523,,,262,,,0.1341991341991342,,,0,wa
26,2016-07-01,53053,Pierce,324950.0,,,2196,,,34.0,,,1388,,,64,,,924,,,0,,,162.5,,,2112.0,,,431798.5406427221,,,2196,,,,,,0,wa
27,2016-07-01,53055,San Juan,711000.0,,,336,,,110.0,,,52,,,4,,,48,,,0,,,349.0,,,2130.0,,,1134475.3846153845,,,336,,,,,,0,wa
28,2016-07-01,53057,Skagit,355000.0,,,518,,,54.0,,,208,,,16,,,148,,,0,,,187.53447324875896,,,1960.0,,,477420.5922671353,,,518,,,,,,0,wa
29,2016-07-01,53059,Skamania,379000.0,,,30,,,71.0,,,12,,,0,,,4,,,1,,,162.03703703703704,,,2408.0,,,550506.6666666666,,,31,,,0.0333333333333333,,,0,wa
30,2016-07-01,53061,Snohomish,399500.0,,,1335,,,23.0,,,1148,,,48,,,472,,,0,,,207.58543596295112,,,1996.0,,,489106.8782201405,,,1335,,,0.0,,,0,wa
31,2016-07-01,53063,Spokane,254900.0,,,1890,,,43.0,,,920,,,44,,,540,,,1790,,,107.095046854083,,,2476.0,,,319849.036018009,,,3680,,,0.9470899470899472,,,0,wa
32,2016-07-01,53065,Stevens,229900.0,,,492,,,91.0,,,96,,,0,,,72,,,35,,,122.86458333333331,,,1960.0,,,309742.32608695654,,,527,,,0.0711382113821138,,,0,wa
33,2016-07-01,53067,Thurston,316900.0,,,856,,,38.0,,,432,,,36,,,316,,,1,,,150.19725718579747,,,2152.0,,,373500.6391129032,,,857,,,0.0011682242990654,,,0,wa
34,2016-07-01,53069,Wahkiakum,259900.0,,,29,,,89.0,,,8,,,0,,,0,,,0,,,132.734375,,,2200.0,,,319062.0689655172,,,29,,,0.0,,,0,wa
35,2016-07-01,53071,Walla Walla,264000.0,,,250,,,60.0,,,80,,,0,,,52,,,0,,,135.02304147465438,,,2092.0,,,338587.902173913,,,250,,,,,,0,wa
36,2016-07-01,53073,Whatcom,379000.0,,,895,,,60.0,,,352,,,8,,,240,,,0,,,194.44444444444449,,,1932.0,,,510593.116,,,895,,,,,,0,wa
