Date,State,County,Code,Code.1,Name,Bldgs,Units,Value,Bldgs.1,Units.1,Value.1,Bldgs.2,Units.2,Value.2,Bldgs.3,Units.3,Value.3,Bldgs.4,Units.4,Value.4,Bldgs.5,Units.5,Value.5,Bldgs.6,Units.6,Value.6,Bldgs.7,Units.7,Value.7
2020-12-01,53,5,4,9,Benton County                 ,131,131,40056796,4,8,652940,0,0,0,2,24,3274774,131,131,40056796,4,8,652940,0,0,0,2,24,3274774
2020-12-01,53,11,4,9,Clark County                  ,346,346,96795682,0,0,0,1,4,767183,7,227,23684327,179,179,44723692,0,0,0,1,4,767183,6,222,23179023
2020-12-01,53,21,4,9,Franklin County               ,46,46,13408496,0,0,0,0,0,0,0,0,0,46,46,13408496,0,0,0,0,0,0,0,0,0
2020-12-01,53,31,4,9,Jefferson County              ,14,14,3280000,0,0,0,0,0,0,0,0,0,3,3,542733,0,0,0,0,0,0,0,0,0
2020-12-01,53,33,4,9,King County                   ,369,369,144023262,27,54,15088673,14,48,10629196,24,1473,314428430,243,243,91841609,26,52,14569595,14,48,10629196,20,1254,289866213
2020-12-01,53,35,4,9,Kitsap County                 ,93,93,27533913,0,0,0,0,0,0,2,58,3399891,93,93,27533913,0,0,0,0,0,0,2,58,3399891
2020-12-01,53,53,4,9,Pierce County                 ,173,173,51750550,1,2,414170,3,12,2294578,11,94,10790190,173,173,51750550,1,2,414170,3,12,2294578,11,94,10790190
2020-12-01,53,55,4,9,San Juan County               ,8,8,1882763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,53,59,4,9,Skamania County               ,5,5,991091,0,0,0,0,0,0,0,0,0,5,5,991091,0,0,0,0,0,0,0,0,0
2020-12-01,53,61,4,9,Snohomish County              ,153,153,47120563,5,10,2580036,0,0,0,15,253,42317547,139,139,43038557,4,8,2108971,0,0,0,10,141,30638889
2019-01-01,53,5,4,9,Benton County                 ,87,87,24918228,1,2,758350,0,0,0,12,276,32410740,69,69,19351686,1,2,758350,0,0,0,12,276,32410740
2019-01-01,53,11,4,9,Clark County                  ,182,182,49764337,0,0,0,1,4,282761,4,40,4298643,171,171,47031758,0,0,0,1,4,282761,4,40,4298643
2019-01-01,53,21,4,9,Franklin County               ,37,37,9824177,3,6,520919,0,0,0,0,0,0,4,4,1407515,0,0,0,0,0,0,0,0,0
2019-01-01,53,31,4,9,Jefferson County              ,11,11,2855075,0,0,0,0,0,0,0,0,0,11,11,2855075,0,0,0,0,0,0,0,0,0
2019-01-01,53,33,4,9,King County                   ,256,256,101907382,25,50,11003242,15,53,10200511,15,623,91263832,160,160,61075676,25,50,11003242,15,53,10200511,14,618,90763767
2019-01-01,53,35,4,9,Kitsap County                 ,52,52,15157095,0,0,0,0,0,0,0,0,0,44,44,13168276,0,0,0,0,0,0,0,0,0
2019-01-01,53,53,4,9,Pierce County                 ,179,179,54848851,1,2,150000,10,40,6160580,3,80,10878148,167,167,51516382,0,0,0,10,40,6160580,1,7,1794444
2019-01-01,53,55,4,9,San Juan County               ,6,6,899072,0,0,0,0,0,0,0,0,0,6,6,899072,0,0,0,0,0,0,0,0,0
2019-01-01,53,59,4,9,Skamania County               ,6,6,1449636,0,0,0,0,0,0,0,0,0,6,6,1449636,0,0,0,0,0,0,0,0,0
2019-01-01,53,61,4,9,Snohomish County              ,143,143,41720833,0,0,0,9,36,8542369,11,69,12376215,139,139,40511917,0,0,0,9,36,8542369,11,69,12376215
2020-04-01,53,5,4,9,Benton County                 ,33,33,11516408,1,2,368284,0,0,0,0,0,0,33,33,11516408,1,2,368284,0,0,0,0,0,0
2020-04-01,53,11,4,9,Clark County                  ,139,139,41991787,0,0,0,0,0,0,0,0,0,30,30,8794762,0,0,0,0,0,0,0,0,0
