,Date,FIPS_CODE,LABOR_NO.
0,2017-01-01,53011,226512.0
1,2017-01-01,53025,41475.0
2,2017-01-01,53033,1221410.0
3,2017-01-01,53035,120338.0
4,2017-01-01,53053,416321.0
5,2017-01-01,53061,417997.0
6,2017-01-01,53065,18119.0
7,2017-01-01,53067,134112.0
8,2017-02-01,53011,227623.0
9,2017-02-01,53025,42406.0
10,2017-02-01,53033,1233614.0
11,2017-02-01,53035,119754.0
12,2017-02-01,53053,414814.0
13,2017-02-01,53061,422154.0
14,2017-02-01,53065,18150.0
15,2017-02-01,53067,133964.0
16,2017-03-01,53011,227629.0
17,2017-03-01,53025,43573.0
18,2017-03-01,53033,1234491.0
19,2017-03-01,53035,119692.0
20,2017-03-01,53053,415076.0
21,2017-03-01,53061,422869.0
22,2017-03-01,53065,18223.0
23,2017-03-01,53067,134407.0
24,2017-04-01,53011,226539.0
25,2017-04-01,53025,43944.0
26,2017-04-01,53033,1231264.0
27,2017-04-01,53035,119293.0
28,2017-04-01,53053,412064.0
29,2017-04-01,53061,421228.0
30,2017-04-01,53065,18108.0
31,2017-04-01,53067,133252.0
32,2017-05-01,53011,225928.0
33,2017-05-01,53025,44395.0
34,2017-05-01,53033,1233583.0
35,2017-05-01,53035,119549.0
36,2017-05-01,53053,412203.0
37,2017-05-01,53061,422160.0
38,2017-05-01,53065,18038.0
39,2017-05-01,53067,132929.0
40,2017-06-01,53011,227050.0
41,2017-06-01,53025,47763.0
42,2017-06-01,53033,1233627.0
43,2017-06-01,53035,120619.0
44,2017-06-01,53053,413297.0
45,2017-06-01,53061,422270.0
46,2017-06-01,53065,18079.0
47,2017-06-01,53067,133070.0
48,2017-07-01,53011,225696.0
49,2017-07-01,53025,49657.0
50,2017-07-01,53033,1237735.0
51,2017-07-01,53035,120328.0
52,2017-07-01,53053,411938.0
53,2017-07-01,53061,423874.0
54,2017-07-01,53065,17900.0
55,2017-07-01,53067,132520.0
56,2017-08-01,53011,226894.0
57,2017-08-01,53025,47036.0
58,2017-08-01,53033,1240445.0
59,2017-08-01,53035,119903.0
60,2017-08-01,53053,414433.0
61,2017-08-01,53061,425150.0
62,2017-08-01,53065,17831.0
63,2017-08-01,53067,133041.0
64,2017-09-01,53011,226604.0
65,2017-09-01,53025,47986.0
66,2017-09-01,53033,1248399.0
67,2017-09-01,53035,119670.0
68,2017-09-01,53053,415960.0
69,2017-09-01,53061,427346.0
70,2017-09-01,53065,17916.0
71,2017-09-01,53067,134874.0
72,2017-10-01,53011,229605.0
73,2017-10-01,53025,46356.0
74,2017-10-01,53033,1233368.0
75,2017-10-01,53035,121063.0
76,2017-10-01,53053,418853.0
77,2017-10-01,53061,422449.0
78,2017-10-01,53065,18076.0
79,2017-10-01,53067,135734.0
80,2017-11-01,53011,230994.0
81,2017-11-01,53025,43706.0
82,2017-11-01,53033,1243274.0
83,2017-11-01,53035,121774.0
84,2017-11-01,53053,422105.0
85,2017-11-01,53061,425366.0
86,2017-11-01,53065,18254.0
87,2017-11-01,53067,136530.0
88,2017-12-01,53011,232498.0
89,2017-12-01,53025,43098.0
90,2017-12-01,53033,1239861.0
91,2017-12-01,53035,122411.0
92,2017-12-01,53053,424917.0
93,2017-12-01,53061,424128.0
94,2017-12-01,53065,18311.0
95,2017-12-01,53067,137274.0
96,2018-01-01,53011,229983.0
97,2018-01-01,53025,42705.0
98,2018-01-01,53033,1261250.0
99,2018-01-01,53035,121859.0
100,2018-01-01,53053,420821.0
101,2018-01-01,53061,430094.0
102,2018-01-01,53065,18211.0
103,2018-01-01,53067,136363.0
104,2018-02-01,53011,231232.0
105,2018-02-01,53025,43927.0
106,2018-02-01,53033,1279686.0
107,2018-02-01,53035,122145.0
108,2018-02-01,53053,422414.0
109,2018-02-01,53061,436289.0
110,2018-02-01,53065,18494.0
111,2018-02-01,53067,137646.0
112,2018-03-01,53011,231179.0
113,2018-03-01,53025,45013.0
114,2018-03-01,53033,1274576.0
115,2018-03-01,53035,122344.0
116,2018-03-01,53053,422077.0
117,2018-03-01,53061,434684.0
118,2018-03-01,53065,18539.0
119,2018-03-01,53067,137605.0
120,2018-04-01,53011,230204.0
121,2018-04-01,53025,44738.0
122,2018-04-01,53033,1264089.0
123,2018-04-01,53035,121481.0
124,2018-04-01,53053,420322.0
125,2018-04-01,53061,430418.0
126,2018-04-01,53065,18338.0
127,2018-04-01,53067,136695.0
128,2018-05-01,53011,230733.0
129,2018-05-01,53025,45938.0
130,2018-05-01,53033,1263642.0
131,2018-05-01,53035,122210.0
132,2018-05-01,53053,421787.0
133,2018-05-01,53061,430510.0
134,2018-05-01,53065,18291.0
135,2018-05-01,53067,137254.0
136,2018-06-01,53011,230334.0
137,2018-06-01,53025,48846.0
138,2018-06-01,53033,1265163.0
139,2018-06-01,53035,122371.0
140,2018-06-01,53053,420556.0
141,2018-06-01,53061,431037.0
142,2018-06-01,53065,18146.0
143,2018-06-01,53067,136544.0
144,2018-07-01,53011,230784.0
145,2018-07-01,53025,51215.0
146,2018-07-01,53033,1272583.0
147,2018-07-01,53035,123259.0
148,2018-07-01,53053,423020.0
149,2018-07-01,53061,433655.0
150,2018-07-01,53065,18111.0
151,2018-07-01,53067,136128.0
152,2018-08-01,53011,230650.0
153,2018-08-01,53025,48576.0
154,2018-08-01,53033,1266146.0
155,2018-08-01,53035,122702.0
156,2018-08-01,53053,423431.0
157,2018-08-01,53061,431498.0
158,2018-08-01,53065,18028.0
159,2018-08-01,53067,136226.0
160,2018-09-01,53011,232131.0
161,2018-09-01,53025,49002.0
162,2018-09-01,53033,1270437.0
163,2018-09-01,53035,122984.0
164,2018-09-01,53053,425201.0
165,2018-09-01,53061,432671.0
166,2018-09-01,53065,18142.0
167,2018-09-01,53067,137992.0
168,2018-10-01,53011,238012.0
169,2018-10-01,53025,47481.0
170,2018-10-01,53033,1264143.0
171,2018-10-01,53035,125970.0
172,2018-10-01,53053,433528.0
173,2018-10-01,53061,430498.0
174,2018-10-01,53065,18550.0
175,2018-10-01,53067,140834.0
176,2018-11-01,53011,240710.0
177,2018-11-01,53025,45941.0
178,2018-11-01,53033,1268450.0
179,2018-11-01,53035,127325.0
180,2018-11-01,53053,438543.0
181,2018-11-01,53061,431619.0
182,2018-11-01,53065,18785.0
183,2018-11-01,53067,142086.0
184,2018-12-01,53011,242053.0
185,2018-12-01,53025,44997.0
186,2018-12-01,53033,1266307.0
187,2018-12-01,53035,128046.0
188,2018-12-01,53053,439984.0
189,2018-12-01,53061,430793.0
190,2018-12-01,53065,18932.0
191,2018-12-01,53067,142140.0
192,2019-01-01,53011,242567.0
193,2019-01-01,53025,44274.0
194,2019-01-01,53033,1281888.0
195,2019-01-01,53035,127146.0
196,2019-01-01,53053,437184.0
197,2019-01-01,53061,436333.0
198,2019-01-01,53065,18916.0
199,2019-01-01,53067,141009.0
200,2019-02-01,53011,244268.0
201,2019-02-01,53025,45067.0
202,2019-02-01,53033,1289124.0
203,2019-02-01,53035,127821.0
204,2019-02-01,53053,440179.0
205,2019-02-01,53061,440097.0
206,2019-02-01,53065,19091.0
207,2019-02-01,53067,142323.0
208,2019-03-01,53011,244045.0
209,2019-03-01,53025,45177.0
210,2019-03-01,53033,1289824.0
211,2019-03-01,53035,127822.0
212,2019-03-01,53053,440261.0
213,2019-03-01,53061,439304.0
214,2019-03-01,53065,19141.0
215,2019-03-01,53067,142478.0
216,2019-04-01,53011,241520.0
217,2019-04-01,53025,45671.0
218,2019-04-01,53033,1279695.0
219,2019-04-01,53035,126607.0
220,2019-04-01,53053,435853.0
221,2019-04-01,53061,435333.0
222,2019-04-01,53065,18895.0
223,2019-04-01,53067,141312.0
224,2019-05-01,53011,240695.0
225,2019-05-01,53025,46241.0
226,2019-05-01,53033,1284090.0
227,2019-05-01,53035,126638.0
228,2019-05-01,53053,435080.0
