,Date,County_Name,FIPS_Code,Average_Rental_Price
0,2017-01-01,Benton,53005,
1,2017-01-01,Clark,53011,1294.0
2,2017-01-01,Grant,53025,961.0
3,2017-01-01,King,53033,1672.0
4,2017-01-01,Kitsap,53035,1368.0
5,2017-01-01,Pierce,53053,1218.0
6,2017-01-01,Snohomish,53061,1448.0
7,2017-01-01,Spokane,53063,833.0
8,2017-01-01,Thurston,53067,1206.0
9,2017-02-01,Benton,53005,
10,2017-02-01,Clark,53011,1305.0
11,2017-02-01,Grant,53025,1009.0
12,2017-02-01,King,53033,1700.0
13,2017-02-01,Kitsap,53035,1360.0
14,2017-02-01,Pierce,53053,1215.0
15,2017-02-01,Snohomish,53061,1454.0
16,2017-02-01,Spokane,53063,846.0
17,2017-02-01,Thurston,53067,1192.0
18,2017-03-01,Benton,53005,
19,2017-03-01,Clark,53011,1318.0
20,2017-03-01,Grant,53025,1032.0
21,2017-03-01,King,53033,1730.0
22,2017-03-01,Kitsap,53035,1355.0
23,2017-03-01,Pierce,53053,1245.0
24,2017-03-01,Snohomish,53061,1485.0
25,2017-03-01,Spokane,53063,865.0
26,2017-03-01,Thurston,53067,1246.0
27,2017-04-01,Benton,53005,
28,2017-04-01,Clark,53011,1328.0
29,2017-04-01,Grant,53025,1032.0
30,2017-04-01,King,53033,1760.0
31,2017-04-01,Kitsap,53035,1364.0
32,2017-04-01,Pierce,53053,1264.0
33,2017-04-01,Snohomish,53061,1509.0
34,2017-04-01,Spokane,53063,882.0
35,2017-04-01,Thurston,53067,1256.0
36,2017-05-01,Benton,53005,
37,2017-05-01,Clark,53011,1333.0
38,2017-05-01,Grant,53025,982.0
39,2017-05-01,King,53033,1796.0
40,2017-05-01,Kitsap,53035,1396.0
41,2017-05-01,Pierce,53053,1298.0
42,2017-05-01,Snohomish,53061,1541.0
43,2017-05-01,Spokane,53063,908.0
44,2017-05-01,Thurston,53067,1300.0
45,2017-06-01,Benton,53005,
46,2017-06-01,Clark,53011,1339.0
47,2017-06-01,Grant,53025,974.0
48,2017-06-01,King,53033,1817.0
49,2017-06-01,Kitsap,53035,1431.0
50,2017-06-01,Pierce,53053,1315.0
